Altium Designer Pick and Place Locations
C:\Users\Ben\Documents\GitHub\GitLocalRepo_AD\DIT_MCU_Board\Project Outputs for DIT_MCU_Board\Pick Place for PCB2.txt

========================================================================================================================
File Design Information:

Date:       11/11/22
Time:       03:22
Revision:   27e46ae6ef33cd17fb48a16ce0bf26128e44d9c7
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                          Center-X(mil) Center-Y(mil) Rotation 
P14        61900219521        TopLayer    SHDRRA2W64P0X254_1X2_508X1150X595P 2470.000      775.000       270      
C24        0.1uF              BottomLayer C1608_Commercial                   745.000       1265.000      0        
C23        0.1uF              BottomLayer C1608_Commercial                   1232.559      1265.000      180      
X1         ABLS-8.000MHZ-B4-T TopLayer    ABRA-ABLS-14.7456MHZ-B2-T_V        1985.000      940.000       180      
U3         CP2102N-A02-GQFN24 TopLayer    QFN50P400X400X80-25N-D             645.000       2350.000      0        
U2         AMS1117-3.3        BottomLayer FP-AMS1117-IPC_C                   1914.724      820.000       180      
U1         STM32H723ZGT6      TopLayer    FP-LQFP144-1A-IPC_A                1971.705      2001.772      90       
S1         FSM2JSMAATR        TopLayer    FSM2J_1                            1255.000      975.000       90       
R25        1k                 TopLayer    RESC1608X55N                       1170.000      2470.000      0        
R24        1k                 TopLayer    RESC1608X55N                       1170.000      2305.000      0        
R23        1k                 TopLayer    RESC1608X55N                       710.000       2611.496      90       
R22        1k                 TopLayer    RESC1608X55N                       620.000       2610.000      90       
R21        5.1k               TopLayer    RESC1608X55N                       373.504       2635.000      180      
R20        5.1k               TopLayer    RESC1608X55N                       375.000       2480.000      180      
R19        1k                 TopLayer    RESC1608X55N                       1055.000      2105.000      270      
R18        47.5k              TopLayer    RESC1608X55N                       925.000       2105.000      90       
R17        22.1k              TopLayer    RESC1608X55N                       825.000       2110.000      90       
R16        1k                 BottomLayer RESC1608X55N                       2405.000      355.000       270      
R15        1k                 BottomLayer RESC1608X55N                       2510.000      355.000       270      
R14        1k                 BottomLayer RESC1608X55N                       1895.000      350.000       270      
R13        1k                 BottomLayer RESC1608X55N                       1990.000      350.000       270      
R12        1k                 BottomLayer RESC1608X55N                       1355.000      350.000       270      
R11        1k                 BottomLayer RESC1608X55N                       1455.000      350.000       270      
R10        1k                 BottomLayer RESC1608X55N                       810.000       350.000       270      
R9         1k                 BottomLayer RESC1608X55N                       920.000       350.000       270      
R8         4.7k               BottomLayer RESC1608X55N                       760.000       1665.000      270      
R7         4.7k               BottomLayer RESC1608X55N                       910.000       1665.000      270      
R6         10k                BottomLayer RESC1608X55N                       865.701       2700.512      270      
R5         10k                BottomLayer RESC1608X55N                       1215.000      2680.000      270      
R4         1k                 BottomLayer RESC1608X55N                       2625.000      1053.504      270      
R3         1k                 BottomLayer RESC1608X55N                       1740.000      1108.504      90       
R2         10k                BottomLayer RESC1608X55N                       1750.000      1775.000      0        
R1         1k                 TopLayer    RESC1608X55N                       2285.000      2760.000      0        
P13        USB4110-GF-A       TopLayer    USB4110GFA                         358.642       1586.220      270      
